id;grp
1;
2;Gruppe 1 (PV 1) ML D28
3;Gruppe 1 (PV 1) ML D28
4;
5;Gruppe 1 (PV 1) ML D28
6;Gruppe 1 (PV 1) ML D28
7;Gruppe 5 (PV 1) LEE D101
8;Gruppe 3 (PV 1) LEE D105
9;Gruppe 1 (PV 1) ML D28
10;Gruppe 1 (PV 1) ML D28
11;Gruppe 3 (PV 1) LEE D105
12;Gruppe 2 (PV 1) HG E41
13;Gruppe 1 (PV 1) ML D28
14;Gruppe 1 (PV 1) ML D28
15;
16;Gruppe 1 (PV 1) ML D28
17;
18;Gruppe 1 (PV 1) ML D28
19;Gruppe 1 (PV 1) ML D28
20;Gruppe 2 (PV 1) HG E41
21;Gruppe 5 (PV 1) LEE D101
22;
23;Gruppe 1 (PV 1) ML D28
24;Gruppe 6 - Advanced Learners (PV 1) LEE C104
25;Gruppe 2 (PV 1) HG E41
26;Gruppe 1 (PV 1) ML D28
27;Gruppe 1 (PV 1) ML D28
28;
29;Gruppe 5 (PV 1) LEE D101
30;Gruppe 1 (PV 1) ML D28
31;Gruppe 5 (PV 1) LEE D101
32;
33;Gruppe 1 (PV 1) ML D28
34;Gruppe 4 (PV 1) LEE C114
35;Gruppe 1 (PV 1) ML D28
36;Gruppe 1 (PV 1) ML D28
37;Gruppe 1 (PV 1) ML D28
38;Gruppe 6 - Advanced Learners (PV 1) LEE C104
39;Gruppe 4 (PV 1) LEE C114
40;Gruppe 2 (PV 1) HG E41
41;
42;Gruppe 2 (PV 1) HG E41
43;Gruppe 1 (PV 1) ML D28
44;Gruppe 1 (PV 1) ML D28
45;Gruppe 4 (PV 1) LEE C114
46;
47;
48;Gruppe 2 (PV 1) HG E41
49;Gruppe 1 (PV 1) ML D28
50;Gruppe 4 (PV 1) LEE C114
51;Gruppe 1 (PV 1) ML D28
52;Gruppe 1 (PV 1) ML D28
53;
54;
55;Gruppe 1 (PV 1) ML D28
56;
57;Gruppe 1 (PV 1) ML D28
58;Gruppe 1 (PV 1) ML D28
59;Gruppe 2 (PV 1) HG E41
60;Gruppe 1 (PV 1) ML D28
61;Gruppe 1 (PV 1) ML D28
62;Gruppe 1 (PV 1) ML D28
63;Gruppe 2 (PV 1) HG E41
64;
65;Gruppe 1 (PV 1) ML D28
66;Gruppe 5 (PV 1) LEE D101
67;Gruppe 1 (PV 1) ML D28
68;Gruppe 1 (PV 1) ML D28
69;Gruppe 4 (PV 1) LEE C114
70;Gruppe 5 (PV 1) LEE D101
71;Gruppe 1 (PV 1) ML D28
72;Gruppe 2 (PV 1) HG E41
73;Gruppe 1 (PV 1) ML D28
74;Gruppe 1 (PV 1) ML D28
75;Gruppe 1 (PV 1) ML D28
76;Gruppe 6 - Advanced Learners (PV 1) LEE C104
77;
78;Gruppe 1 (PV 1) ML D28
79;Gruppe 3 (PV 1) LEE D105
80;
81;Gruppe 3 (PV 1) LEE D105
82;Gruppe 3 (PV 1) LEE D105
83;Gruppe 3 (PV 1) LEE D105
84;Gruppe 1 (PV 1) ML D28
85;
86;Gruppe 4 (PV 1) LEE C114
87;Gruppe 1 (PV 1) ML D28
88;Gruppe 4 (PV 1) LEE C114
89;
90;Gruppe 1 (PV 1) ML D28
91;Gruppe 5 (PV 1) LEE D101
92;Gruppe 1 (PV 1) ML D28
93;Gruppe 5 (PV 1) LEE D101
94;Gruppe 3 (PV 1) LEE D105
95;Gruppe 2 (PV 1) HG E41
96;
97;
98;Gruppe 1 (PV 1) ML D28
99;Gruppe 2 (PV 1) HG E41
100;Gruppe 4 (PV 1) LEE C114
101;Gruppe 1 (PV 1) ML D28
102;Gruppe 1 (PV 1) ML D28
103;
104;Gruppe 1 (PV 1) ML D28
105;Gruppe 1 (PV 1) ML D28
106;
107;Gruppe 1 (PV 1) ML D28
108;Gruppe 1 (PV 1) ML D28
109;
110;Gruppe 1 (PV 1) ML D28
111;
112;Gruppe 3 (PV 1) LEE D105
113;
114;Gruppe 5 (PV 1) LEE D101
115;
116;
117;Gruppe 1 (PV 1) ML D28
118;Gruppe 5 (PV 1) LEE D101
119;
120;Gruppe 5 (PV 1) LEE D101
121;Gruppe 1 (PV 1) ML D28
122;Gruppe 1 (PV 1) ML D28
123;Gruppe 1 (PV 1) ML D28
124;
125;Gruppe 6 - Advanced Learners (PV 1) LEE C104
126;Gruppe 5 (PV 1) LEE D101
127;
