id;time;role1;role2;role3;role4;role5;role6;role7;role8;role9
76;dec2016;7;5;16;0;10;5;0;5;22
243;dec2016;16;5;15;9;11;1;9;0;4
1;dec2016;11;2;14;7;15;5;12;0;4
62;dec2016;3;6;8;8;11;5;12;8;9
150;dec2016;18;6;0;2;6;13;23;0;2
298;dec2016;5;3;26;10;12;4;0;9;1
400;dec2016;7;19;1;3;6;4;25;5;0
274;dec2016;3;0;0;5;13;5;44;0;0
365;dec2016;8;1;2;8;9;6;12;14;10
97;dec2016;8;0;26;0;0;0;0;17;19
189;dec2016;0;5;21;19;10;13;2;0;0
177;dec2016;18;2;11;11;0;7;12;0;9
227;dec2016;10;0;1;19;15;6;17;1;1
360;dec2016;6;9;14;0;15;6;6;1;13
307;dec2016;1;18;5;17;13;4;10;3;0
440;dec2016;1;7;3;13;3;18;8;7;10
381;dec2016;15;7;5;2;4;7;14;9;7
496;dec2016;14;0;3;9;3;6;22;4;9
363;dec2016;23;6;8;4;0;3;19;5;2
137;dec2016;19;3;6;10;5;2;13;0;12
279;dec2016;10;0;0;14;0;0;29;0;17
353;dec2016;15;2;15;5;5;5;12;4;7
301;dec2016;21;3;7;10;7;5;5;7;5
265;dec2016;13;1;5;10;3;13;1;10;14
429;dec2016;8;0;9;10;11;7;13;7;5
239;dec2016;15;4;10;4;3;9;11;11;3
194;dec2016;5;0;10;12;2;3;18;8;12
459;dec2016;16;12;18;4;7;3;5;5;0
304;dec2016;13;5;11;6;10;2;7;7;9
222;dec2016;9;2;15;6;2;17;11;0;8
230;dec2016;15;0;6;3;6;8;3;11;18
9;dec2016;18;6;13;3;4;4;11;3;8
42;dec2016;7;6;8;2;3;7;14;3;20
13;dec2016;14;0;5;14;10;6;11;1;9
414;dec2016;0;5;8;13;8;13;18;0;5
367;dec2016;2;17;18;3;0;0;1;20;9
25;dec2016;15;0;20;9;10;3;5;2;6
252;dec2016;15;13;17;3;4;3;3;8;4
439;dec2016;10;3;5;7;1;12;6;12;14
78;dec2016;17;1;3;11;3;8;8;11;8
432;dec2016;7;7;8;9;6;9;8;5;11
485;dec2016;12;2;8;3;7;7;9;11;11
99;dec2016;9;4;13;9;10;4;1;9;11
264;dec2016;10;4;10;12;3;4;17;8;2
40;dec2016;6;4;10;8;8;10;9;6;9
