id;time;role1;role2;role3;role4;role5;role6;role7;role8;role9
471;sep2016;10;0;9;12;9;10;3;7;10
230;sep2016;10;0;7;2;9;8;7;8;19
440;sep2016;5;1;6;15;3;8;7;13;12
25;sep2016;11;4;21;6;8;1;5;5;9
491;sep2016;11;4;6;3;9;4;13;9;11
430;sep2016;10;11;13;2;8;4;8;3;11
42;sep2016;8;3;12;6;4;10;14;5;8
389;sep2016;0;8;7;14;15;9;10;0;7
156;sep2016;7;4;9;9;3;6;12;7;13
349;sep2016;11;2;5;7;3;6;11;3;22
375;sep2016;11;4;13;11;5;10;6;4;6
264;sep2016;6;5;8;10;7;9;17;6;2
3;sep2016;10;3;3;7;1;8;20;5;13
457;sep2016;11;1;15;6;5;9;6;8;9
39;sep2016;9;7;11;6;7;10;6;4;10
248;sep2016;11;2;0;12;9;3;12;7;14
99;sep2016;9;5;15;9;10;4;5;8;5
81;sep2016;12;3;4;5;1;8;10;16;11
169;sep2016;8;5;6;3;8;7;17;6;10
220;sep2016;5;8;12;10;8;5;13;4;5
330;sep2016;11;8;14;6;7;7;9;4;4
9;sep2016;8;0;23;8;5;8;12;2;4
367;sep2016;7;9;18;6;4;0;2;21;3
110;sep2016;5;2;4;6;4;2;13;19;15
424;sep2016;15;0;14;0;12;7;5;12;5
363;sep2016;31;10;5;5;3;3;12;1;0
303;sep2016;14;7;12;1;3;8;9;11;5
415;sep2016;12;6;6;5;5;2;17;11;6
397;sep2016;6;0;5;15;9;6;18;2;9
272;sep2016;16;8;2;12;4;6;7;2;13
160;sep2016;8;4;7;7;13;6;13;5;7
294;sep2016;6;5;5;2;5;10;7;16;14
76;sep2016;10;0;30;0;5;10;0;10;5
134;sep2016;11;9;12;7;9;4;11;2;5
432;sep2016;8;6;13;6;5;9;8;6;9
138;sep2016;14;2;1;3;5;7;16;10;12
177;sep2016;7;4;9;9;4;9;15;7;6
420;sep2016;11;6;5;9;5;6;21;2;5
69;sep2016;6;6;4;11;11;3;18;5;6
336;sep2016;6;3;4;3;5;5;19;15;10
346;sep2016;11;3;13;6;8;10;6;6;7
154;sep2016;11;8;4;7;3;7;13;5;12
145;sep2016;15;4;4;5;1;8;19;7;7
343;sep2016;6;3;4;5;8;5;6;14;19
406;sep2016;9;8;8;8;2;3;14;8;10
315;sep2016;12;7;16;0;10;1;13;8;3
67;sep2016;16;2;2;8;8;8;22;0;4
224;sep2016;14;3;2;10;8;4;22;5;2
97;sep2016;4;0;10;0;4;1;9;14;28
301;sep2016;12;3;6;5;9;5;14;7;9
